"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","365",".isHidden() - determine if a DOM element is hidden","Cypress APIs","Wed Mar 05 19:35:18 IST 2025","passed","Wed Mar 05 19:35:18 IST 2025","","Cypress.dom","",""
"","622","Get CPU architecture name of underlying OS","Cypress APIs","Wed Mar 05 19:35:13 IST 2025","passed","Wed Mar 05 19:35:14 IST 2025","","Cypress.arch","",""
"","345","Cypress.$ - call a jQuery method","Utilities","Wed Mar 05 19:37:12 IST 2025","passed","Wed Mar 05 19:37:12 IST 2025","","","",""
"","962","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","Wed Mar 05 19:35:36 IST 2025","passed","Wed Mar 05 19:35:37 IST 2025","","","",""
"","1207","cy.getAllCookies() - get all browser cookies","Cookies","Wed Mar 05 19:34:42 IST 2025","passed","Wed Mar 05 19:34:43 IST 2025","","","",""
"","927","finds element by class name regex","Assertions","Wed Mar 05 19:34:11 IST 2025","passed","Wed Mar 05 19:34:12 IST 2025","","Explicit Assertions","",""
"","1655","cy.reload() - reload the page","Navigation","Wed Mar 05 19:35:09 IST 2025","passed","Wed Mar 05 19:35:11 IST 2025","","","",""
"","1185",".and() - chain multiple assertions together","Assertions","Wed Mar 05 19:34:07 IST 2025","passed","Wed Mar 05 19:34:08 IST 2025","","Implicit Assertions","",""
"","207","Cypress.minimatch - test out glob patterns against strings","Utilities","Wed Mar 05 19:37:13 IST 2025","passed","Wed Mar 05 19:37:13 IST 2025","","","",""
"","720",".invoke() - invoke a function on the current subject","Connectors","Wed Mar 05 19:34:40 IST 2025","passed","Wed Mar 05 19:34:40 IST 2025","","","",""
"","224",".last() - get last DOM element","Traversal","Wed Mar 05 19:37:02 IST 2025","passed","Wed Mar 05 19:37:02 IST 2025","","","",""
"","854","cy.contains() - query DOM elements with matching content","Querying","Wed Mar 05 19:35:31 IST 2025","passed","Wed Mar 05 19:35:32 IST 2025","","","",""
"","343","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","Wed Mar 05 19:36:08 IST 2025","passed","Wed Mar 05 19:36:08 IST 2025","","","",""
"","2393",".clear() - clears an input or textarea element","Actions","Wed Mar 05 19:34:32 IST 2025","passed","Wed Mar 05 19:34:35 IST 2025","","","",""
"","1104",".scrollIntoView() - scroll an element into view","Actions","Wed Mar 05 19:34:50 IST 2025","passed","Wed Mar 05 19:34:51 IST 2025","","","",""
"","1723","can add new todo items","example to-do app","Wed Mar 05 19:34:27 IST 2025","passed","Wed Mar 05 19:34:28 IST 2025","","","",""
"","256",".parent() - get parent DOM element from DOM elements","Traversal","Wed Mar 05 19:37:03 IST 2025","passed","Wed Mar 05 19:37:04 IST 2025","","","",""
"","715",".each() - iterate over an array of elements","Connectors","Wed Mar 05 19:34:38 IST 2025","passed","Wed Mar 05 19:34:39 IST 2025","","","",""
"","900","cy.request() with query parameters","Network Requests","Wed Mar 05 19:35:06 IST 2025","passed","Wed Mar 05 19:35:07 IST 2025","","","",""
"","757","Get environment variables","Cypress APIs","Wed Mar 05 19:35:18 IST 2025","passed","Wed Mar 05 19:35:19 IST 2025","","Cypress.env()","",""
"","592","Get underlying OS name","Cypress APIs","Wed Mar 05 19:35:20 IST 2025","passed","Wed Mar 05 19:35:20 IST 2025","","Cypress.platform","",""
"","233",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","Wed Mar 05 19:37:04 IST 2025","passed","Wed Mar 05 19:37:04 IST 2025","","","",""
"","2692","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","Wed Mar 05 19:35:33 IST 2025","passed","Wed Mar 05 19:35:35 IST 2025","","","",""
"","1972",".uncheck() - uncheck a checkbox element","Actions","Wed Mar 05 19:34:45 IST 2025","passed","Wed Mar 05 19:34:47 IST 2025","","","",""
"","749","cy.setCookie() - set a browser cookie","Cookies","Wed Mar 05 19:34:43 IST 2025","passed","Wed Mar 05 19:34:44 IST 2025","","","",""
"","1393",".submit() - submit a form","Actions","Wed Mar 05 19:34:35 IST 2025","passed","Wed Mar 05 19:34:36 IST 2025","","","",""
"","4720","cy.screenshot() - take a screenshot","Misc","Wed Mar 05 19:35:52 IST 2025","passed","Wed Mar 05 19:35:56 IST 2025","","Cypress.Screenshot","",""
"","3258","best practices - selecting elements","Querying","Wed Mar 05 19:35:35 IST 2025","passed","Wed Mar 05 19:35:38 IST 2025","","","",""
"","982","cy.clock() - control time in the browser","Spies, Stubs, and Clock","Wed Mar 05 19:35:37 IST 2025","passed","Wed Mar 05 19:35:38 IST 2025","","","",""
"","970","can throw any error","Assertions","Wed Mar 05 19:34:12 IST 2025","passed","Wed Mar 05 19:34:13 IST 2025","","Explicit Assertions","",""
"","1279","Get and set configuration options","Cypress APIs","Wed Mar 05 19:35:16 IST 2025","failed","Wed Mar 05 19:35:18 IST 2025","","Cypress.config()","",""
"","144","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","Wed Mar 05 19:35:39 IST 2025","passed","Wed Mar 05 19:35:39 IST 2025","","","",""
"","960",".trigger() - trigger an event on a DOM element","Actions","Wed Mar 05 19:34:51 IST 2025","passed","Wed Mar 05 19:34:52 IST 2025","","","",""
"","763","cy.clearCookies() - clear browser cookies for the current domain","Cookies","Wed Mar 05 19:34:45 IST 2025","passed","Wed Mar 05 19:34:46 IST 2025","","","",""
"","6335","cy.wait() - wait for a specific amount of time","Waiting","Wed Mar 05 19:35:55 IST 2025","passed","Wed Mar 05 19:36:02 IST 2025","","","",""
"","557","cy.document() - get the document object","Window","Wed Mar 05 19:35:56 IST 2025","passed","Wed Mar 05 19:35:56 IST 2025","","","",""
"","480","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","Wed Mar 05 19:36:07 IST 2025","passed","Wed Mar 05 19:36:08 IST 2025","","","",""
"","232",".closest() - get closest ancestor DOM element","Traversal","Wed Mar 05 19:37:01 IST 2025","passed","Wed Mar 05 19:37:01 IST 2025","","","",""
"","231",".not() - remove DOM elements from set of DOM elements","Traversal","Wed Mar 05 19:37:03 IST 2025","passed","Wed Mar 05 19:37:03 IST 2025","","","",""
"","630","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","Wed Mar 05 19:35:57 IST 2025","passed","Wed Mar 05 19:35:57 IST 2025","","Cypress.Screenshot","",""
"","957","cy.clearAllCookies() - clear all browser cookies","Cookies","Wed Mar 05 19:34:48 IST 2025","failed","Wed Mar 05 19:34:49 IST 2025","","","",""
"","31533","can filter for uncompleted tasks","example to-do app","Wed Mar 05 19:35:02 IST 2025","failed","Wed Mar 05 19:35:34 IST 2025","","with a checked task","",""
"","209","cy.fixture() or require - load a fixture","Files","Wed Mar 05 19:36:46 IST 2025","passed","Wed Mar 05 19:36:46 IST 2025","","","",""
"","626","invokes a callback function with the current subject","Connectors","Wed Mar 05 19:34:41 IST 2025","passed","Wed Mar 05 19:34:42 IST 2025","",".then()","",""
"","1160","cy.request() - save response in the shared test context","Network Requests","Wed Mar 05 19:35:08 IST 2025","passed","Wed Mar 05 19:35:09 IST 2025","","","",""
"","30763","can delete all completed tasks","example to-do app","Wed Mar 05 19:36:07 IST 2025","failed","Wed Mar 05 19:36:38 IST 2025","","with a checked task","",""
"","2868","cy.scrollTo() - scroll the window or element to a position","Actions","Wed Mar 05 19:34:52 IST 2025","passed","Wed Mar 05 19:34:55 IST 2025","","","",""
"","587","cy.fixture() - load a fixture","Files","Wed Mar 05 19:36:45 IST 2025","passed","Wed Mar 05 19:36:46 IST 2025","","","",""
"","1108","cy.request() - pass result to the second request","Network Requests","Wed Mar 05 19:35:07 IST 2025","passed","Wed Mar 05 19:35:08 IST 2025","","","",""
"","256",".nextAll() - get all next sibling DOM elements","Traversal","Wed Mar 05 19:37:03 IST 2025","passed","Wed Mar 05 19:37:03 IST 2025","","","",""
"","687","yields the original subject without return","Connectors","Wed Mar 05 19:34:43 IST 2025","passed","Wed Mar 05 19:34:44 IST 2025","",".then()","",""
"","1174","pass your own callback function to should()","Assertions","Wed Mar 05 19:34:10 IST 2025","passed","Wed Mar 05 19:34:11 IST 2025","","Explicit Assertions","",""
"","249",".siblings() - get all sibling DOM elements","Traversal","Wed Mar 05 19:37:05 IST 2025","passed","Wed Mar 05 19:37:05 IST 2025","","","",""
"","1792","cy.getCookie() - get a browser cookie","Cookies","Wed Mar 05 19:34:39 IST 2025","passed","Wed Mar 05 19:34:41 IST 2025","","","",""
"","231","cy.location() - get window.location","Location","Wed Mar 05 19:36:53 IST 2025","passed","Wed Mar 05 19:36:54 IST 2025","","","",""
"","1000","cy.window() - get the global window object","Window","Wed Mar 05 19:35:55 IST 2025","passed","Wed Mar 05 19:35:56 IST 2025","","","",""
"","239",".filter() - get DOM elements that match the selector","Traversal","Wed Mar 05 19:37:01 IST 2025","passed","Wed Mar 05 19:37:01 IST 2025","","","",""
"","1540","cy.focused() - get the DOM element that has focus","Misc","Wed Mar 05 19:35:49 IST 2025","passed","Wed Mar 05 19:35:50 IST 2025","","","",""
"","1076","expect - make an assertion about a specified subject","Assertions","Wed Mar 05 19:34:08 IST 2025","passed","Wed Mar 05 19:34:09 IST 2025","","Explicit Assertions","",""
"","410","Control what is printed to the Command Log","Cypress APIs","Wed Mar 05 19:35:19 IST 2025","passed","Wed Mar 05 19:35:20 IST 2025","","Cypress.log","",""
"","1669","cy.request() - verify response using BDD syntax","Network Requests","Wed Mar 05 19:35:04 IST 2025","passed","Wed Mar 05 19:35:06 IST 2025","","","",""
"","2483",".check() - check a checkbox or radio element","Actions","Wed Mar 05 19:34:43 IST 2025","passed","Wed Mar 05 19:34:45 IST 2025","","","",""
"","1899",".blur() - blur off a DOM element","Actions","Wed Mar 05 19:34:30 IST 2025","passed","Wed Mar 05 19:34:32 IST 2025","","","",""
"","1064","cy.tick() - move time in the browser","Spies, Stubs, and Clock","Wed Mar 05 19:35:38 IST 2025","passed","Wed Mar 05 19:35:39 IST 2025","","","",""
"","1119","Get current version of Cypress being run","Cypress APIs","Wed Mar 05 19:35:20 IST 2025","passed","Wed Mar 05 19:35:22 IST 2025","","Cypress.version","",""
"","237",".first() - get first DOM element","Traversal","Wed Mar 05 19:37:02 IST 2025","passed","Wed Mar 05 19:37:02 IST 2025","","","",""
"","1214","can check off an item as completed","example to-do app","Wed Mar 05 19:34:29 IST 2025","passed","Wed Mar 05 19:34:30 IST 2025","","","",""
"","1464",".focus() - focus on a DOM element","Actions","Wed Mar 05 19:34:28 IST 2025","passed","Wed Mar 05 19:34:30 IST 2025","","","",""
"","1877","cy.intercept() - route responses to matching requests","Network Requests","Wed Mar 05 19:35:09 IST 2025","passed","Wed Mar 05 19:35:11 IST 2025","","","",""
"","541","cy.getAllLocalStorage() - get all data in localStorage for all origins","Local Storage / Session Storage","Wed Mar 05 19:36:06 IST 2025","passed","Wed Mar 05 19:36:07 IST 2025","","","",""
"","1260","cy.get() - query DOM elements","Querying","Wed Mar 05 19:35:30 IST 2025","passed","Wed Mar 05 19:35:31 IST 2025","","","",""
"","2192","retries the should callback until assertions pass","Assertions","Wed Mar 05 19:34:16 IST 2025","passed","Wed Mar 05 19:34:18 IST 2025","","Explicit Assertions","",""
"","695","Cypress.Blob - blob utilities and base64 string conversion","Utilities","Wed Mar 05 19:37:12 IST 2025","passed","Wed Mar 05 19:37:13 IST 2025","","","",""
"","788","Cypress._ - call a lodash method","Utilities","Wed Mar 05 19:37:11 IST 2025","passed","Wed Mar 05 19:37:12 IST 2025","","","",""
"","372","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","Wed Mar 05 19:36:07 IST 2025","passed","Wed Mar 05 19:36:07 IST 2025","","","",""
"","2636","cy.request() - make an XHR request","Network Requests","Wed Mar 05 19:35:01 IST 2025","passed","Wed Mar 05 19:35:04 IST 2025","","","",""
"","1200","Cypress.Promise - instantiate a bluebird promise","Utilities","Wed Mar 05 19:37:13 IST 2025","passed","Wed Mar 05 19:37:14 IST 2025","","","",""
"","1157","cy.root() - query the root DOM element","Querying","Wed Mar 05 19:35:33 IST 2025","passed","Wed Mar 05 19:35:34 IST 2025","","","",""
"","1753","cy.spy() - wrap a method in a spy","Spies, Stubs, and Clock","Wed Mar 05 19:35:31 IST 2025","passed","Wed Mar 05 19:35:32 IST 2025","","","",""
"","927",".rightclick() - right click on a DOM element","Actions","Wed Mar 05 19:34:41 IST 2025","passed","Wed Mar 05 19:34:42 IST 2025","","","",""
"","241",".prevUntil() - get all previous sibling DOM elements until el","Traversal","Wed Mar 05 19:37:05 IST 2025","passed","Wed Mar 05 19:37:05 IST 2025","","","",""
"","2568","displays two todo items by default","example to-do app","Wed Mar 05 19:34:23 IST 2025","passed","Wed Mar 05 19:34:26 IST 2025","","","",""
"","246",".nextUntil() - get next sibling DOM elements until next el","Traversal","Wed Mar 05 19:37:03 IST 2025","passed","Wed Mar 05 19:37:03 IST 2025","","","",""
"","808",".within() - query DOM elements within a specific element","Querying","Wed Mar 05 19:35:32 IST 2025","passed","Wed Mar 05 19:35:33 IST 2025","","","",""
"","2112",".select() - select an option in a <select> element","Actions","Wed Mar 05 19:34:47 IST 2025","passed","Wed Mar 05 19:34:49 IST 2025","","","",""
"","4743",".as() - alias a DOM element for later use","Aliasing","Wed Mar 05 19:34:13 IST 2025","passed","Wed Mar 05 19:34:17 IST 2025","","","",""
"","450",".children() - get child DOM elements","Traversal","Wed Mar 05 19:37:00 IST 2025","passed","Wed Mar 05 19:37:01 IST 2025","","","",""
"","1059","cy.writeFile() - write to a file","Files","Wed Mar 05 19:36:46 IST 2025","passed","Wed Mar 05 19:36:47 IST 2025","","","",""
"","807",".debug() - enable or disable debugging","Cypress APIs","Wed Mar 05 19:35:12 IST 2025","passed","Wed Mar 05 19:35:13 IST 2025","","Cypress.Cookies","",""
"","1110","cy.clearCookie() - clear a browser cookie","Cookies","Wed Mar 05 19:34:44 IST 2025","passed","Wed Mar 05 19:34:45 IST 2025","","","",""
"","707","Get current spec information","Cypress APIs","Wed Mar 05 19:35:22 IST 2025","passed","Wed Mar 05 19:35:23 IST 2025","","Cypress.spec","",""
"","1116","cy.getCookies() - get browser cookies for the current domain","Cookies","Wed Mar 05 19:34:41 IST 2025","passed","Wed Mar 05 19:34:42 IST 2025","","","",""
"","1092",".dblclick() - double click on a DOM element","Actions","Wed Mar 05 19:34:40 IST 2025","passed","Wed Mar 05 19:34:41 IST 2025","","","",""
"","3319","cy.viewport() - set the viewport size and dimension","Viewport","Wed Mar 05 19:36:15 IST 2025","passed","Wed Mar 05 19:36:18 IST 2025","","","",""
"","1202","matches unknown text between two elements","Assertions","Wed Mar 05 19:34:13 IST 2025","passed","Wed Mar 05 19:34:14 IST 2025","","Explicit Assertions","",""
"","215","cy.url() - get the current URL","Location","Wed Mar 05 19:36:54 IST 2025","passed","Wed Mar 05 19:36:54 IST 2025","","","",""
"","272",".prevAll() - get all previous sibling DOM elements","Traversal","Wed Mar 05 19:37:04 IST 2025","passed","Wed Mar 05 19:37:05 IST 2025","","","",""
"","232",".eq() - get a DOM element at a specific index","Traversal","Wed Mar 05 19:37:01 IST 2025","passed","Wed Mar 05 19:37:01 IST 2025","","","",""
"","230","cy.readFile() - read file contents","Files","Wed Mar 05 19:36:46 IST 2025","passed","Wed Mar 05 19:36:46 IST 2025","","","",""
"","642","yields the returned value to the next command","Connectors","Wed Mar 05 19:34:42 IST 2025","passed","Wed Mar 05 19:34:43 IST 2025","",".then()","",""
"","1989","cy.visit() - visit a remote url","Navigation","Wed Mar 05 19:35:11 IST 2025","passed","Wed Mar 05 19:35:13 IST 2025","","","",""
"","10771",".type() - type into a DOM element","Actions","Wed Mar 05 19:34:17 IST 2025","passed","Wed Mar 05 19:34:27 IST 2025","","","",""
"","356","cy.hash() - get the current URL hash","Location","Wed Mar 05 19:36:53 IST 2025","passed","Wed Mar 05 19:36:53 IST 2025","","","",""
"","3380",".should() - make an assertion about the current subject","Assertions","Wed Mar 05 19:34:02 IST 2025","passed","Wed Mar 05 19:34:06 IST 2025","","Implicit Assertions","",""
"","1388","can filter for completed tasks","example to-do app","Wed Mar 05 19:35:34 IST 2025","passed","Wed Mar 05 19:35:36 IST 2025","","with a checked task","",""
"","659","cy.title() - get the title","Window","Wed Mar 05 19:35:57 IST 2025","passed","Wed Mar 05 19:35:57 IST 2025","","","",""
"","854","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","Wed Mar 05 19:36:05 IST 2025","passed","Wed Mar 05 19:36:06 IST 2025","","","",""
"","4294","cy.go() - go back or forward in the browser's history","Navigation","Wed Mar 05 19:35:05 IST 2025","passed","Wed Mar 05 19:35:09 IST 2025","","","",""
"","1261","assert - assert shape of an object","Assertions","Wed Mar 05 19:34:15 IST 2025","passed","Wed Mar 05 19:34:16 IST 2025","","Explicit Assertions","",""
"","238",".next() - get next sibling DOM element","Traversal","Wed Mar 05 19:37:02 IST 2025","passed","Wed Mar 05 19:37:02 IST 2025","","","",""
"","542","yields the value yielded by the last Cypress command inside","Connectors","Wed Mar 05 19:34:44 IST 2025","passed","Wed Mar 05 19:34:44 IST 2025","",".then()","",""
"","258",".find() - get descendant DOM elements of the selector","Traversal","Wed Mar 05 19:37:01 IST 2025","passed","Wed Mar 05 19:37:02 IST 2025","","","",""
"","4565","cy.exec() - execute a system command","Misc","Wed Mar 05 19:35:44 IST 2025","passed","Wed Mar 05 19:35:49 IST 2025","","","",""
"","1368","cy.wait() - wait for a specific route","Waiting","Wed Mar 05 19:36:02 IST 2025","passed","Wed Mar 05 19:36:03 IST 2025","","","",""
"","652",".its() - get properties on the current subject","Connectors","Wed Mar 05 19:34:39 IST 2025","passed","Wed Mar 05 19:34:40 IST 2025","","","",""
"","3667",".click() - click on a DOM element","Actions","Wed Mar 05 19:34:36 IST 2025","passed","Wed Mar 05 19:34:40 IST 2025","","","",""
"","259",".prev() - get previous sibling DOM element","Traversal","Wed Mar 05 19:37:04 IST 2025","passed","Wed Mar 05 19:37:04 IST 2025","","","",""
"","232","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","Wed Mar 05 19:35:39 IST 2025","passed","Wed Mar 05 19:35:40 IST 2025","","","",""
"","2597",".as() - alias a route for later use","Aliasing","Wed Mar 05 19:34:18 IST 2025","passed","Wed Mar 05 19:34:21 IST 2025","","","",""
"","604",".spread() - spread an array as individual args to callback function","Connectors","Wed Mar 05 19:34:41 IST 2025","passed","Wed Mar 05 19:34:41 IST 2025","","","",""
"","1518",".add() - create a custom command","Cypress APIs","Wed Mar 05 19:35:10 IST 2025","passed","Wed Mar 05 19:35:12 IST 2025","","Cypress.Commands","",""
"","238",".parents() - get parent DOM elements from DOM elements","Traversal","Wed Mar 05 19:37:04 IST 2025","passed","Wed Mar 05 19:37:04 IST 2025","","","",""
"","812","cy.wrap() - wrap an object","Misc","Wed Mar 05 19:35:51 IST 2025","passed","Wed Mar 05 19:35:52 IST 2025","","","",""
